,doty,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,datetime
1,60,0,7,7,3,2,100,91,-2.3,1020.3,-20.7,0,3.1,01-03-2013 00:00
2,60,1,4,4,3,3.666424,100,92,-2.7,1020.8,-20.5,0,1.5,01-03-2013 01:00
3,60,2,4,4,2.82,3.162848,100,91,-3.2,1020.6,-21.4,0,1.8,01-03-2013 02:00
4,60,3,3,3,3,2,229,84.64,-3.3,1021.3,-23.7,0,2.4,01-03-2013 03:00
5,60,4,3,3,7,5.8,300,86,-4.1,1022.1,-22.7,0,2.2,01-03-2013 04:00
6,60,5,4,4,3,3,200,85,-4.2,1022.3,-24.5,0,4.3,01-03-2013 05:00
7,60,6,3,6,33,7,300,82,-5.9,1023.1,-21.9,0,0.6,01-03-2013 06:00
8,60,7,3,10,13,13,400,71,-2.7,1024.3,-23.2,0,3.4,01-03-2013 07:00
9,60,8,3,13,34,38,800,45,-1.6,1025.2,-23.5,0,4.6,01-03-2013 08:00
10,60,9,17,36,50,28,700,60,-1.1,1025.4,-23.8,0,4.9,01-03-2013 09:00
11,60,10,19,32,5,3,300,85,1,1025.1,-23.6,0,2.7,01-03-2013 10:00
12,60,11,10,11,3,6.4,300,87,2.4,1024.5,-22.5,0,3.9,01-03-2013 11:00
13,60,12,3,6,5,3,300,86,3.9,1023.8,-21.3,0,1.9,01-03-2013 12:00
14,60,13,3,6,7,3,300,87,4.7,1022.8,-22.4,0,3.3,01-03-2013 13:00
15,60,14,3,6,9,6,300,87,5.7,1022.3,-22.6,0,1.9,01-03-2013 14:00
16,60,15,3,3,4,3,200,89,5.4,1022.7,-22.8,0,3.1,01-03-2013 15:00
17,60,16,3,6,16,6,300,86,4.6,1022.7,-22.5,0,3.2,01-03-2013 16:00
18,60,17,4,10,13,12,300,80,3.4,1023.2,-21.7,0,2.8,01-03-2013 17:00
19,60,18,4,12,10,15,300,76,1.2,1024.4,-21.2,0,1.4,01-03-2013 18:00
20,60,19,9,18,24,22,500,68,0.8,1025.1,-20.9,0,2.3,01-03-2013 19:00
21,60,20,20,24,22,24,500,65,0.7,1026.2,-20.4,0,4.4,01-03-2013 20:00
22,60,21,23,29,27,16,400,71,-0.2,1027.3,-20,0,3.3,01-03-2013 21:00
23,60,22,13,20,23,18,400,68,-1,1027.9,-19.6,0,3.7,01-03-2013 22:00
24,60,23,13,24,50,23,400,61,-1.1,1027.4,-19.2,0,3.7,01-03-2013 23:00
25,61,0,15,21,44,28,500,57,-1.8,1027.3,-19.3,0,4.8,02-03-2013 00:00
26,61,1,9,16,28,17,400,67,-2.1,1027.9,-19.1,0,2.6,02-03-2013 01:00
27,61,2,11,13,40,16,300,67,-2.2,1027.4,-19.6,0,3.9,02-03-2013 02:00
28,61,3,8,15,27,17,400,64,-2.3,1027.1,-19.3,0,2.4,02-03-2013 03:00
29,61,4,13,15,47,26,400,56,-3.4,1027.2,-18.1,0,0.6,02-03-2013 04:00
30,61,5,15,18,42.2688,26.4837,665,56.1204,-4.2,1026.9,-16.4,0,1.4,02-03-2013 05:00
31,61,6,12,17,21,11,400,63,-4.5,1025.8,-16.4,0,1.9,02-03-2013 06:00
32,61,7,7,11,11,18,500,45,-4,1026.6,-14.2,0,1.2,02-03-2013 07:00
33,61,8,14,11,61,44,600,28,-2.6,1026.6,-16.7,0,0.8,02-03-2013 08:00
34,61,9,22,31,63,60,800,18,-1.2,1026.2,-16.2,0,0.9,02-03-2013 09:00
35,61,10,31,49,48,33,500,43,-0.1,1025.8,-16.9,0,0.6,02-03-2013 10:00
36,61,11,27,35,79,47,600,35,1.1,1025.5,-16.8,0,1.8,02-03-2013 11:00
37,61,12,36,50,73,50,700,38,2,1024.3,-18.1,0,1.2,02-03-2013 12:00
38,61,13,31,47,41,39,500,48,2.2,1022.8,-17.9,0,1.1,02-03-2013 13:00
39,61,14,28,37,25,34,400,54,2.3,1022,-17.3,0,2.1,02-03-2013 14:00
40,61,15,26,31,25,50,600,40,2.8,1021.3,-17.4,0,1.8,02-03-2013 15:00
41,61,16,29,41,27,60,700,30,2.2,1020.7,-16.8,0,1.4,02-03-2013 16:00
42,61,17,36,52,44,81,800,16,1.2,1020.4,-15.8,0,0.9,02-03-2013 17:00
43,61,18,44,67,42,91,1000,5,0.1,1020.4,-15.5,0,1,02-03-2013 18:00
44,61,19,53,70,36,100,1100,2,-1.3,1019.9,-12.6,0,1,02-03-2013 19:00
45,61,20,52,71,42,100,1800,2,-1.6,1019.7,-13.5,0,1.1,02-03-2013 20:00
46,61,21,97,103,34,88,1600,2,-1.8,1019.6,-12.5,0,1.2,02-03-2013 21:00
47,61,22,89,89,30,83,1600,2,-1.8,1019,-13.3,0,0.7,02-03-2013 22:00
48,61,23,80,83,30,77,1399,2,-2.8,1018.1,-10.1,0,1.4,02-03-2013 23:00
49,62,0,62,70,22,66,1300,2,-2.9,1017,-11.9,0,0,03-03-2013 00:00
50,62,1,51,63,20,52,1000,6,-3.8,1016.2,-12.7,0,0.9,03-03-2013 01:00
51,62,2,42,49,18,48,900,7,-4.6,1015,-11.2,0,0.8,03-03-2013 02:00
52,62,3,40,45,19,52,1100,2,-5.5,1014.3,-11.2,0,1.5,03-03-2013 03:00
53,62,4,44,51,16,45,1000,6,-6.1,1013.7,-12,0,1.3,03-03-2013 04:00
54,62,5,45,49,12,45,1100,3,-6.9,1013.2,-12.6,0,0.4,03-03-2013 05:00
55,62,6,55,58,12,44,1100,3,-7.2,1013.1,-12.3,0,0.8,03-03-2013 06:00
56,62,7,47,57,12,43,1000,3,-5.6,1013.3,-11.3,0,1.5,03-03-2013 07:00
57,62,8,58,59,17,41,1100,8,-0.4,1012.8,-11.8,0,0.5,03-03-2013 08:00
58,62,9,64,68,83,55,1300,10,2.4,1012.5,-12.7,0,2,03-03-2013 09:00
59,62,10,77,97,133,74,1500,16,5.2,1011.7,-12.8,0,0.9,03-03-2013 10:00
60,62,11,96,127,83,62,1200,33,7.6,1010.4,-12.8,0,2.1,03-03-2013 11:00
61,62,12,95,112,87,61,1200,43,10.1,1009.4,-12.5,0,3,03-03-2013 12:00
62,62,13,94,115,75,57,1100,52,11.5,1008.1,-12.8,0,2.1,03-03-2013 13:00
63,62,14,103,128,66,51,1000,55,13.2,1007.4,-12.9,0,3,03-03-2013 14:00
64,62,15,103,140,64,65,1000,54,15.3,1007.1,-14,0,4.4,03-03-2013 15:00
65,62,16,98,151,63,63,900,54,15.1,1007.3,-14.2,0,4.9,03-03-2013 16:00
66,62,17,82,154,9,19,200,78,13.1,1007.9,-13.9,0,1.9,03-03-2013 17:00
67,62,18,22,70,5,14,200,77,8.8,1009.2,-12.4,0,2.7,03-03-2013 18:00
68,62,19,12,40,18,25,500,41,9.4,1010,-12.5,0,3.1,03-03-2013 19:00
69,62,20,18,60,12,29,500,40,7.3,1010.1,-12.5,0,0.9,03-03-2013 20:00
70,62,21,18,52,10,22.27,300,52,4.7,1010.5,-12.3,0,0,03-03-2013 21:00
71,62,22,17,44,34,47,1200,4,3.3,1011.3,-10.7,0,1.2,03-03-2013 22:00
72,62,23,40,79,29,47,1000,19,9.9,1011.8,-13.4,0,2.6,03-03-2013 23:00
73,63,0,38,68,27,34,700,33,7.2,1012.8,-13.1,0,0.7,04-03-2013 00:00
74,63,1,28,51,11,6,100,75,5.9,1013.7,-13.2,0,1.6,04-03-2013 01:00
75,63,2,9,24,16,10,100,74,4.7,1013.9,-13.2,0,5.3,04-03-2013 02:00
76,63,3,13,26,13,8,200,73,7.2,1014,-15.6,0,3.5,04-03-2013 03:00
77,63,4,6,14,21,12,100,74,4,1014,-14.3,0,1.4,04-03-2013 04:00
78,63,5,8,26,29,31,400,43,1.8,1014.7,-13.2,0,2,04-03-2013 05:00
79,63,6,14,30,31,38,500,35,0,1016,-13.3,0,0.2,04-03-2013 06:00
80,63,7,13,38,40,55,600,16,2.4,1017,-11.9,0,0.5,04-03-2013 07:00
81,63,8,14,42,60,92,3299,2,7.1,1017.6,-12.2,0,1.7,04-03-2013 08:00
82,63,9,47,117,64,49,500,38,8.6,1017.8,-13.8,0,1.9,04-03-2013 09:00
